feature,importance
wind_speed_rolling_mean_6,0.6047439575195312
wind_speed_lag_1,0.24947857856750488
wind_u,0.032383181154727936
wind_v,0.020427502691745758
wind_speed_rolling_mean_24,0.016243506222963333
wind_speed_rolling_std_6,0.008478059433400631
pressure_rolling_mean_12,0.0033832078333944082
wind_speed_rolling_mean_12,0.002730362117290497
wind_speed_rolling_std_12,0.0021786170545965433
pressure_lag_12,0.0018819562392309308
wind_speed_lag_4,0.0018519581062719226
wind_speed_lag_12,0.0018034601816907525
pressure_trend_6,0.0013908970868214965
temperature_rolling_mean_24,0.001360055641271174
temperature_trend_24,0.0013598970836028457
hour_cos,0.001328146317973733
temperature_trend_6,0.001316624111495912
wind_speed_lag_18,0.0013085518730804324
humidity_lag_1,0.0013024128274992108
temperature_lag_6,0.001256712363101542
wind_speed_lag_2,0.0012439459096640348
wind_speed_rolling_std_24,0.0012406415771692991
day_of_year_cos,0.0012372967321425676
pressure_lag_5,0.0012221811339259148
temperature_lag_24,0.0012186411768198013
wind_speed_lag_3,0.0012090164236724377
pressure_rolling_std_6,0.0011847084388136864
temperature_trend_12,0.0011711003025993705
temperature_rolling_std_6,0.0011564705055207014
temperature_rolling_std_24,0.0011558347614482045
temperature_lag_5,0.0011414563050493598
wind_speed_lag_5,0.001123781781643629
wind_speed_lag_6,0.0010870714904740453
pressure_rolling_mean_24,0.0010556032648310065
pressure_lag_6,0.0010308307828381658
pressure_lag_24,0.0010287127224728465
wind_speed_lag_24,0.0010156449861824512
humidity_lag_5,0.0010011042468249798
temperature_rolling_mean_12,0.000997530878521502
temperature_lag_3,0.000986826024018228
pressure_lag_18,0.0009717423818074167
temperature_rolling_std_12,0.0009703627438284457
humidity_lag_12,0.0009637306211516261
humidity_lag_2,0.0009594126022420824
pressure_rolling_std_24,0.0009480426670052111
pressure_trend_12,0.0009479701984673738
temperature_lag_1,0.0009458168060518801
pressure_trend_24,0.0009198019397445023
pressure_lag_2,0.0009196087485179305
temperature_lag_12,0.0009009020286612213
temperature_rolling_mean_6,0.0008679854799993336
pressure_rolling_std_12,0.0008673725533299148
humidity_lag_18,0.0008339594933204353
humidity_lag_24,0.0008230383391492069
humidity_lag_6,0.0007960789371281862
pressure_lag_1,0.0007942944066599011
pressure_lag_3,0.0007344857440330088
hour_sin,0.000730168423615396
pressure_lag_4,0.0007288107881322503
temperature_lag_18,0.00071664311690256
humidity_lag_4,0.0007022074423730373
day_of_year_sin,0.0006892178789712489
humidity_lag_3,0.000630345952231437
temperature_lag_2,0.0006187825347296894
month_cos,0.0006091162795200944
month_sin,0.0004253402876202017
temperature_lag_4,0.0002687293163035065
pressure_rolling_mean_6,0.0
